Date,Price,Open,High,Low,Vol.,Change %,Type
09/05/2018,66.84,66.84,67.0,66.4,,0.35%,Iron Ore Fines 62%
09/04/2018,66.61,66.61,66.6,66.1,,0.66%,Iron Ore Fines 62%
09/03/2018,66.17,66.17,66.27,65.5,,-1.47%,Iron Ore Fines 62%
08/31/2018,67.16,67.16,64.8,64.8,,0.00%,Iron Ore Fines 62%
08/30/2018,67.16,67.16,66.7,66.7,,0.01%,Iron Ore Fines 62%
08/29/2018,67.15,67.15,65.9,65.9,,0.00%,Iron Ore Fines 62%
08/28/2018,67.15,67.15,67.0,67.0,,0.00%,Iron Ore Fines 62%
08/27/2018,67.15,67.15,66.8,66.8,,-0.09%,Iron Ore Fines 62%
08/24/2018,67.21,67.21,67.2,67.0,,-0.03%,Iron Ore Fines 62%
08/23/2018,67.23,67.23,67.3,67.0,,-0.18%,Iron Ore Fines 62%
08/22/2018,67.35,67.35,67.4,67.1,,-0.19%,Iron Ore Fines 62%
08/21/2018,67.48,67.48,67.65,67.3,,-0.95%,Iron Ore Fines 62%
08/20/2018,68.13,68.13,68.15,67.95,,0.18%,Iron Ore Fines 62%
08/17/2018,68.01,68.01,68.2,67.2,,1.09%,Iron Ore Fines 62%
08/16/2018,67.28,67.28,67.6,66.7,,-0.04%,Iron Ore Fines 62%
08/15/2018,67.31,67.31,68.0,67.3,,-0.78%,Iron Ore Fines 62%
08/14/2018,67.84,67.84,68.9,67.75,,-1.35%,Iron Ore Fines 62%
08/13/2018,68.77,68.77,69.0,68.5,,-0.13%,Iron Ore Fines 62%
08/10/2018,68.86,68.86,69.55,68.75,,-0.48%,Iron Ore Fines 62%
08/09/2018,69.19,69.19,69.4,69.0,,0.16%,Iron Ore Fines 62%
08/08/2018,69.08,69.08,70.0,69.0,,-1.07%,Iron Ore Fines 62%
08/07/2018,69.83,69.83,70.0,68.1,0.02K,1.16%,Iron Ore Fines 62%
08/06/2018,69.03,69.03,69.1,65.65,,2.19%,Iron Ore Fines 62%
08/03/2018,67.55,67.55,67.45,66.4,,1.53%,Iron Ore Fines 62%
08/02/2018,66.53,66.53,66.65,65.75,,-0.17%,Iron Ore Fines 62%
08/01/2018,66.64,66.64,67.75,66.5,,3.56%,Iron Ore Fines 62%
