Date,Price,Open,High,Low,Vol.,Change %,Type
06/08/2022,330.0,325.0,330.0,323.0,0.07K,1.16%,Rotterdam Coal
06/07/2022,326.2,330.0,330.0,330.0,0.05K,-2.22%,Rotterdam Coal
06/06/2022,333.6,330.0,330.0,330.0,0.04K,1.97%,Rotterdam Coal
06/03/2022,327.15,327.15,327.15,327.15,,0.00%,Rotterdam Coal
06/02/2022,327.15,327.15,327.15,327.15,,0.31%,Rotterdam Coal
06/01/2022,326.15,321.0,326.0,321.0,0.19K,-2.06%,Rotterdam Coal
05/31/2022,333.0,312.0,339.0,312.0,0.10K,8.82%,Rotterdam Coal
05/30/2022,306.0,302.0,304.0,302.0,0.10K,-7.20%,Rotterdam Coal
05/27/2022,329.75,291.0,291.0,291.0,,-0.26%,Rotterdam Coal
05/26/2022,330.6,330.6,330.6,330.6,,-0.02%,Rotterdam Coal
05/25/2022,330.65,330.0,330.0,330.0,0.01K,-0.12%,Rotterdam Coal
05/24/2022,331.05,331.5,331.5,331.0,0.03K,-0.39%,Rotterdam Coal
05/23/2022,332.35,332.35,332.35,332.35,,-1.19%,Rotterdam Coal
05/20/2022,336.35,331.0,336.0,331.0,0.02K,1.31%,Rotterdam Coal
05/19/2022,332.0,331.0,333.0,330.0,0.01K,0.06%,Rotterdam Coal
05/18/2022,331.8,331.0,332.5,331.0,0.02K,0.74%,Rotterdam Coal
05/17/2022,329.35,330.0,330.0,330.0,0.06K,1.65%,Rotterdam Coal
05/16/2022,324.0,323.0,323.0,323.0,0.04K,1.57%,Rotterdam Coal
05/13/2022,319.0,319.0,319.0,319.0,0.05K,-2.00%,Rotterdam Coal
05/12/2022,325.5,329.0,335.0,329.0,0.05K,2.04%,Rotterdam Coal
05/11/2022,319.0,315.0,320.0,315.0,0.06K,1.87%,Rotterdam Coal
05/10/2022,313.15,308.5,314.0,308.5,0.03K,0.74%,Rotterdam Coal
05/09/2022,310.85,318.0,321.0,309.0,0.14K,-2.71%,Rotterdam Coal
05/06/2022,319.5,317.0,322.0,317.0,0.13K,-0.47%,Rotterdam Coal
05/05/2022,321.0,322.0,322.0,319.0,0.12K,3.05%,Rotterdam Coal
05/04/2022,311.5,300.0,310.0,300.0,0.23K,10.03%,Rotterdam Coal
05/03/2022,283.1,261.0,281.0,261.0,0.17K,-12.31%,Rotterdam Coal
04/29/2022,322.85,322.85,322.85,322.85,0.02K,0.00%,Rotterdam Coal
04/28/2022,322.85,322.85,322.85,322.85,,-0.22%,Rotterdam Coal
04/27/2022,323.55,325.5,325.5,325.5,0.03K,-0.37%,Rotterdam Coal
04/26/2022,324.75,325.0,325.0,324.75,0.03K,-0.38%,Rotterdam Coal
04/25/2022,326.0,326.0,326.0,326.0,,-0.20%,Rotterdam Coal
