"REPORTINGPRODUCTGROUP","COUNTRY","REPORTINGCHANNEL","Period","Item","BRAND","REGION","BRIDGESTONE TYPE","DIMENSION (Truck Tyres)","RIMDIAMET.'/MM","WIDTH IN INCH","WIDTH IN MM","ASPECT RATIO","TUBE / TUBLESS","LOADINDEX","SPEEDINDEX","FirstActivity","SALES UNITS","SALES <LC>","PRICE TWD/UN."
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R200","BRIDGESTONE","NORTH TAIWAN","EXCLUDED TBR AND LSR2","7.00/15","15'","7","N.A.","N.A.","TL","UNKNOWN","J (-100KM)","OCTOBER 2016",265.50000000,984700.00000000,3708.85122411
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R200","BRIDGESTONE","SOUTH TAIWAN","EXCLUDED TBR AND LSR2","7.00/15","15'","7","N.A.","N.A.","TL","UNKNOWN","J (-100KM)","OCTOBER 2016",172.80000000,624000.00000000,3611.11111111
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R200","BRIDGESTONE","TAIPEI CITY","EXCLUDED TBR AND LSR2","7.00/15","15'","7","N.A.","N.A.","TL","UNKNOWN","J (-100KM)","OCTOBER 2016",42.00000000,189000.00000000,4500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R202","BRIDGESTONE","CENTRAL TAIWAN","EXCLUDED TBR AND LSR2","205/85/16","16'","N.A.","205","85","TL","117","L (-120KM)","OCTOBER 2016",12.80000000,64000.00000000,5000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R202","BRIDGESTONE","NORTH TAIWAN","EXCLUDED TBR AND LSR2","205/85/16","16'","N.A.","205","85","TL","117","L (-120KM)","OCTOBER 2016",55.00000000,286000.00000000,5200.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R202","BRIDGESTONE","CENTRAL TAIWAN","EXCLUDED TBR AND LSR2","195/85/16","16'","N.A.","195","85","TL","114","L (-120KM)","OCTOBER 2016",39.18838733,180266.58173335,4600.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R202","BRIDGESTONE","NORTH TAIWAN","EXCLUDED TBR AND LSR2","195/85/16","16'","N.A.","195","85","TL","114","L (-120KM)","OCTOBER 2016",55.00000000,247500.00000000,4500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R216","ROADLUX","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","UNKNOWN","UNKNOWN","APRIL 2020",89.72217750,628055.24250000,7000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R224","BRIDGESTONE","SOUTH TAIWAN","TBR","12.00/22.5","22.5""","12","N.A.","N.A.","TL","152","J (-100KM)","NOVEMBER 2016",230.41656000,2488498.84800000,10800.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R225","BRIDGESTONE","NORTH TAIWAN","TBR","225/90/17.5","17.5'","N.A.","225","90","TL","127","L (-120KM)","OCTOBER 2016",188.39084000,1224540.46000000,6500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R225","BRIDGESTONE","SOUTH TAIWAN","TBR","225/90/17.5","17.5'","N.A.","225","90","TL","127","L (-120KM)","OCTOBER 2016",109.60921600,690538.06080000,6300.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R225","BRIDGESTONE","CENTRAL TAIWAN","LSR2","8.25/16","16'","8.25","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",322.14646550,2158381.31885006,6700.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R225","BRIDGESTONE","NORTH TAIWAN","LSR2","8.25/16","16'","8.25","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",78.50000000,514950.00000000,6559.87261146
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R225","BRIDGESTONE","SOUTH TAIWAN","LSR2","8.25/16","16'","8.25","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",372.49159200,2416967.87040000,6488.65081067
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R225","BRIDGESTONE","CENTRAL TAIWAN","LSR2","7.50/16","16'","7.5","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","NOVEMBER 2016",322.14646550,1997308.08610006,6200.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R225","BRIDGESTONE","NORTH TAIWAN","LSR2","7.50/16","16'","7.5","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","NOVEMBER 2016",89.50000000,541700.00000000,6052.51396648
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R225","BRIDGESTONE","SOUTH TAIWAN","LSR2","7.50/16","16'","7.5","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","NOVEMBER 2016",326.40828000,1971887.19600000,6041.16781596
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R225","BRIDGESTONE","CENTRAL TAIWAN","TBR","215/70/17.5","17.5'","N.A.","215","70","TL","123","J (-100KM)","AUGUST 2017",20.36364300,162909.14400000,8000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R294","BRIDGESTONE","CENTRAL TAIWAN","LSR2","9.50/17.5","17.5'","9.5","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",296.18187625,2240244.07187500,7563.74461611
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R294","BRIDGESTONE","NORTH TAIWAN","LSR2","9.50/17.5","17.5'","9.5","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",121.00000000,919600.00000000,7600.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R294","BRIDGESTONE","SOUTH TAIWAN","LSR2","9.50/17.5","17.5'","9.5","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",184.33324800,1437799.33440000,7800.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","R294","BRIDGESTONE","TAIPEI CITY","LSR2","9.50/17.5","17.5'","9.5","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","OCTOBER 2016",57.00000000,456000.00000000,8000.00000000
